藍方勝,首殺,擊殺數,菁英野怪數,小龍擊殺數,預示者擊殺數,推塔數,總經濟,總經驗,總小兵擊殺,總野怪擊殺
0,1,3,0,0,0,0,643,-8,-2,-19
0,-1,0,-3,-1,-1,-1,-2908,-1173,-66,-9
0,-1,-4,1,1,0,0,-1172,-1033,-17,18
0,-1,-1,1,0,1,0,-1321,-7,-34,8
0,-1,0,-1,-1,0,0,-1004,230,-15,-10
1,-1,2,1,1,0,0,698,101,4,-17
1,1,1,1,1,0,0,2411,1563,61,18
0,-1,-8,-1,-1,0,0,-2615,-800,52,-6
0,-1,0,-2,-1,-1,0,-1979,-771,-51,8
1,1,-1,1,1,0,0,-1548,-1574,-27,-4
0,1,0,-1,-1,0,0,331,-1585,15,-23
0,1,0,1,0,1,0,-1505,-635,-31,-12
1,1,6,1,1,0,0,3274,1659,-2,3
0,-1,-5,1,0,1,0,-3414,-1141,-19,1
1,1,0,0,0,0,0,-470,-187,-18,3
0,-1,-4,0,0,0,0,-1996,-1804,-28,2
1,1,8,-1,-1,0,0,5228,3378,53,-8
0,-1,-4,1,0,1,0,-1975,-1345,-15,1
1,1,1,-2,-1,-1,0,882,512,-15,-3
0,-1,-4,0,0,0,0,-3155,-2773,-31,-8
1,1,5,1,1,0,0,2526,1625,-11,-3
0,-1,-9,-1,-1,0,0,-2835,-2821,-6,-2
0,-1,-2,-1,-1,0,0,-1254,-567,7,-4
0,-1,1,2,1,1,0,406,1283,18,3
1,-1,-3,0,0,0,0,-1020,493,11,9
0,-1,-4,-1,-1,0,0,-2472,-1067,-17,8
1,-1,2,1,1,0,0,1260,-55,-24,8
0,1,3,-1,-1,0,0,1857,2015,26,12
0,1,2,1,1,0,0,1320,-413,-6,13
0,-1,-5,1,1,0,0,-3282,-1647,8,0
1,1,5,1,1,0,0,2883,2111,1,4
1,1,3,2,1,1,0,1703,1696,12,3
0,-1,2,-1,-1,0,0,608,-85,-3,-12
0,1,1,-1,-1,0,0,71,-359,-21,7
1,-1,2,-1,-1,0,0,275,872,-19,-6
0,-1,-1,-2,-1,-1,0,-809,638,17,2
0,-1,-6,1,1,0,0,-2771,-1125,-17,20
0,1,-1,0,-1,1,0,-1730,-1236,-11,-19
0,-1,-2,0,-1,1,0,-904,1377,7,28
0,-1,-3,0,-1,1,0,-1683,-1363,-23,4
0,-1,-7,-1,-1,0,0,-3025,-1833,9,9
1,-1,4,0,0,0,0,3004,2300,46,5
1,-1,3,1,1,0,0,1574,761,10,-18
1,1,0,0,0,0,0,-1036,-1423,12,-28
0,1,-1,0,-1,1,0,16,433,9,11
0,-1,-9,-1,0,-1,-1,-6386,-4210,-60,-24
1,1,9,0,0,0,0,5096,3310,55,-5
1,1,4,1,1,0,1,2756,1683,18,-3
1,-1,-1,1,0,1,0,-977,-1025,-38,-12
0,-1,0,0,0,0,0,-808,-1655,-35,12
0,-1,-2,-1,-1,0,0,-1559,-407,3,-3
1,-1,-2,0,0,0,0,544,75,31,5
1,1,3,2,1,1,0,1381,1017,5,-7
1,1,2,-1,-1,0,0,2031,1449,38,-14
0,-1,0,1,1,0,0,131,370,19,-8
0,-1,-6,0,-1,1,0,-2699,-2749,23,-1
0,1,-2,1,1,0,0,-1672,-2698,-37,-13
1,1,4,1,1,0,0,1201,316,-21,-2
1,1,2,2,1,1,0,-108,59,-25,11
0,-1,3,-1,-1,0,1,4633,2269,54,13
0,-1,-5,-1,-1,0,0,-2262,-1391,-27,14
0,-1,-1,-1,-1,0,0,-49,500,1,25
1,1,2,0,1,-1,0,1687,1089,-3,-2
1,1,8,2,1,1,0,3933,2922,-4,28
0,-1,-6,1,1,0,0,-4061,-4397,-21,-31
0,-1,-6,-1,0,-1,-1,-4920,-3280,-52,-20
0,-1,-1,0,0,0,0,-1705,-1839,-17,-10
0,1,-1,0,1,-1,0,105,-1547,12,4
1,-1,-2,-1,-1,0,0,-554,521,-1,13
0,1,-1,-1,-1,0,0,-1037,-1577,-43,9
0,1,1,0,-1,1,-1,-1144,480,3,17
1,1,1,-1,-1,0,0,1173,953,14,-31
0,1,6,-1,-1,0,0,3194,2534,24,-7
0,1,-5,1,1,0,0,-2622,-1136,12,2
1,1,2,0,1,-1,0,1151,470,37,2
1,1,2,2,1,1,0,1463,1490,31,0
0,-1,-2,-2,-1,-1,0,-1038,-1307,-5,-14
1,1,4,1,0,1,0,1424,1060,32,-21
1,-1,4,1,1,0,0,527,721,16,-19
0,-1,1,-2,-1,-1,0,1807,932,44,-14
0,1,7,0,-1,1,0,2856,1262,46,-29
0,-1,0,0,1,-1,0,-964,-2454,-37,0
0,-1,-1,0,-1,1,0,-178,524,21,4
1,-1,1,1,1,0,0,705,192,28,-3
1,-1,0,1,1,0,0,908,306,-2,11
1,-1,5,2,1,1,0,3558,3243,41,12
0,-1,-5,-1,-1,0,0,-1299,-49,23,9
1,-1,-3,1,1,0,0,-1763,-1864,-47,8
1,-1,6,0,0,0,0,2547,2189,-15,23
0,-1,-7,0,1,-1,0,-3685,-3119,10,-14
0,1,-4,-1,-1,0,0,-3689,-4682,-22,-34
0,1,-2,-2,-1,-1,0,-764,803,3,27
1,1,7,-1,-1,0,0,3037,2694,10,10
1,1,0,-1,-1,0,1,3545,2162,112,26
0,-1,0,1,1,0,0,-1031,-394,-46,-12
0,-1,-5,-1,-1,0,0,-1796,-749,-1,15
1,1,1,-1,-1,0,0,1626,747,44,-14
1,-1,-2,0,-1,1,0,832,1330,64,22
1,-1,5,2,1,1,0,2750,2647,39,0
0,-1,-3,1,0,1,0,-1524,-827,41,-11
0,1,-2,1,1,0,0,-1370,-875,14,17
0,-1,-2,-1,-1,0,0,-1506,-412,-22,-1
0,-1,-1,-2,-1,-1,0,-1101,-718,-13,12
0,-1,5,0,-1,1,0,2774,2207,27,-3
0,-1,-3,-2,-1,-1,0,-1806,-588,7,-11
0,-1,2,0,1,-1,0,1265,1248,41,-8
1,-1,-8,-1,-1,0,0,-4443,-4140,-27,-20
0,-1,-2,-1,-1,0,0,-927,967,17,11
1,1,4,-2,-1,-1,0,1425,728,13,-8
1,-1,2,1,1,0,0,1177,1161,7,-11
1,1,-5,0,1,-1,0,-1586,410,20,0
0,-1,-5,2,1,1,0,-2896,-2081,-4,-32
1,-1,3,0,0,0,0,905,1054,-38,8
0,1,-8,0,0,0,0,-3887,-3392,-24,-11
1,1,6,1,1,0,0,3413,2984,-8,8
0,1,-2,2,1,1,0,-256,-1580,-2,-4
1,1,-3,0,0,0,0,-1820,-1412,-4,-1
1,1,2,1,1,0,0,625,-534,7,-9
0,-1,-4,-1,-1,0,0,-3628,-2009,-70,0
0,1,0,0,-1,1,0,769,480,-16,13
0,-1,0,0,1,-1,0,-576,-682,31,-23
0,-1,-6,-1,-1,0,0,-3900,-3550,-42,-11
1,-1,1,0,1,-1,0,-7,-231,-17,-17
1,1,3,-1,-1,0,0,1683,1433,-24,-12
0,-1,-7,-1,-1,0,0,-4782,-3408,-52,-11
1,1,2,1,1,0,0,636,-214,-10,-8
1,-1,-7,1,1,0,0,-3421,-2624,-36,-12
1,-1,2,1,1,0,0,976,1599,10,19
0,-1,-1,-1,0,-1,0,-211,-1305,1,6
1,-1,2,0,0,0,0,1221,462,18,4
1,-1,6,-1,-1,0,0,2037,1291,9,-44
1,1,3,1,1,0,0,817,-94,12,-22
1,1,0,-1,-1,0,0,-137,-351,-12,-24
1,1,-3,1,1,0,0,-1539,-1497,21,-19
0,-1,-2,-1,-1,0,0,-1707,-1286,-25,-3
1,-1,-3,1,1,0,0,-556,-235,85,-5
1,1,2,0,1,-1,0,-146,-717,-26,-7
1,1,8,0,-1,1,0,4083,2884,36,-15
1,-1,0,-1,-1,0,0,1389,1418,-3,15
0,-1,-1,0,1,-1,0,-890,-528,3,11
0,1,-5,0,0,0,0,-2519,-1095,-2,-14
0,-1,-11,0,0,0,0,-4440,-4020,-18,-21
1,1,1,-2,-1,-1,0,1140,705,61,8
0,1,-2,0,0,0,0,-1656,-1832,-47,-11
1,-1,5,-2,-1,-1,0,2171,-261,-7,0
1,1,8,0,0,0,0,3841,2484,-10,4
1,-1,-7,0,-1,1,1,-885,-2172,16,4
0,-1,-5,2,1,1,0,-2752,-2286,-50,8
1,1,4,0,0,0,0,2081,466,7,-13
0,1,1,0,0,0,0,453,-19,23,2
0,1,2,0,1,-1,0,830,-1002,4,0
0,-1,0,0,0,0,0,94,-445,35,0
0,-1,2,2,1,1,0,-722,891,-54,17
0,-1,-1,0,-1,1,0,-1491,-799,8,-6
0,-1,-8,-2,-1,-1,0,-3109,-1745,-3,22
0,1,-4,-1,-1,0,0,537,-477,52,5
1,-1,8,2,1,1,0,4079,5568,14,31
1,-1,5,0,0,0,1,4006,2081,3,3
0,1,-7,-2,-1,-1,0,-3582,-5395,-46,-15
1,-1,0,-1,-1,0,0,-355,233,-19,8
1,1,1,0,0,0,1,3464,994,29,24
1,1,4,0,1,-1,0,2217,2183,-4,28
1,1,5,2,1,1,0,3049,1511,1,5
1,-1,-1,1,1,0,0,-305,-474,-1,4
0,-1,2,0,1,-1,0,1325,479,11,-1
1,1,0,-1,-1,0,0,-53,87,18,-8
0,-1,-4,-1,-1,0,0,-2865,-1441,-41,8
0,1,0,-1,-1,0,0,-93,-561,-2,2
0,1,-1,-1,-1,0,0,-420,-1185,13,-4
1,1,4,0,1,-1,0,5008,2355,74,19
0,1,-2,-2,-1,-1,0,-2074,-1795,-8,-3
1,-1,1,1,0,1,0,-3,1013,-2,15
0,1,0,-2,-1,-1,0,-837,-660,-36,0
1,1,0,0,1,-1,0,510,-747,13,-16
0,-1,-5,1,1,0,0,-3549,-2407,-14,-17
1,-1,0,-1,-1,0,0,272,359,41,-12
1,1,4,0,0,0,0,2187,2189,24,-1
0,-1,-6,-1,0,-1,-1,-4907,-2556,-20,-7
1,1,1,1,1,0,0,63,648,28,0
1,-1,-4,0,-1,1,0,-2132,-484,-8,21
0,-1,-1,0,-1,1,0,-976,-964,-11,2
0,1,-2,-1,-1,0,0,-1342,-1966,-32,8
1,1,6,1,1,0,0,2304,2532,21,-4
1,-1,8,-1,-1,0,0,4219,3379,-1,14
0,1,-1,0,0,0,0,-2049,-2340,-63,-1
0,-1,-4,-1,-1,0,0,-4179,-3823,-49,-19
0,-1,0,-1,-1,0,0,-66,-1073,24,-16
1,-1,2,2,1,1,0,510,142,-37,4
0,1,1,0,-1,1,0,2591,1567,55,18
0,1,-8,-1,-1,0,-1,-3772,-3034,21,-7
0,1,0,1,1,0,0,965,-878,7,-8
0,-1,-4,-2,-1,-1,0,-3468,-2158,-36,-36
1,1,11,0,0,0,0,6153,3916,16,9
0,-1,-5,-1,-1,0,0,-2216,-2730,4,0
0,-1,-5,1,1,0,0,-2308,-1767,-15,11
1,1,0,0,-1,1,0,1917,-179,16,3
0,-1,-3,-1,-1,0,0,-1676,-1759,24,-32
1,1,5,1,1,0,0,2709,1259,28,-12
0,-1,-2,-1,-1,0,0,-1304,-552,6,-10
1,1,3,1,1,0,0,1824,1409,7,-1
0,-1,3,-2,-1,-1,0,229,-45,-38,-6
1,-1,0,1,0,1,0,1507,1667,38,1
0,-1,-4,1,1,0,0,-1787,-1135,-4,4
0,-1,1,0,0,0,0,815,1397,52,-3
0,-1,-9,1,1,0,0,-4767,-5061,-71,4
0,-1,-2,-1,-1,0,0,-1861,-2532,-41,-21
0,-1,-13,1,1,0,-1,-7655,-4485,-60,24
1,-1,-5,0,0,0,0,-2058,-2051,-12,2
1,-1,0,1,1,0,0,-575,-208,-12,-12
0,1,2,1,0,1,0,1765,701,33,3
0,1,0,0,-1,1,0,540,269,35,-14
1,-1,3,-1,-1,0,0,862,-442,-18,0
1,1,4,1,1,0,0,2761,1659,20,4
0,-1,-5,-1,-1,0,0,-1249,-853,13,17
1,-1,0,-1,-1,0,0,-75,655,27,8
1,1,9,1,1,0,0,5805,4777,52,20
0,-1,-2,0,-1,1,0,-810,-305,-14,7
0,1,1,1,0,1,0,1034,706,-2,4
1,1,-4,-1,0,-1,0,-2595,-2856,-29,-1
1,-1,-1,-1,-1,0,0,-334,-73,5,7
1,1,7,2,1,1,1,3806,2161,2,0
0,-1,-5,0,0,0,0,-2711,-2547,-10,-21
1,1,4,0,0,0,0,2551,1754,47,2
0,1,3,1,1,0,0,66,-446,-41,-12
0,-1,5,1,1,0,0,2242,727,-12,5
0,-1,-3,1,0,1,0,-893,-213,21,7
0,-1,-3,-1,-1,0,0,-1208,-152,-18,13
1,-1,8,-1,-1,0,0,4003,2566,40,0
1,-1,2,1,1,0,0,819,2149,34,-9
1,1,6,-1,0,-1,0,4009,1935,47,3
0,-1,-1,1,1,0,0,-259,-1001,-26,-6
0,1,3,0,0,0,0,1728,-738,32,-16
0,-1,0,0,-1,1,0,474,393,34,12
0,1,6,0,0,0,0,1863,328,-2,-17
0,-1,-6,-1,-1,0,0,-3846,-2306,-53,-4
0,-1,-2,-1,-1,0,0,-2373,-1592,-23,-29
1,-1,1,1,1,0,0,218,-204,-5,-6
1,1,2,0,0,0,0,2208,1929,20,19
0,-1,-2,1,1,0,0,-1440,-373,-24,12
0,-1,-2,1,1,0,0,-845,-1743,-24,-32
0,-1,-4,-1,-1,0,0,-2635,-2694,-68,4
1,-1,5,2,1,1,0,2817,2414,17,-5
1,-1,4,2,1,1,0,2812,2497,-3,15
0,-1,-5,-1,-1,0,0,-3864,-2759,-45,-4
1,-1,-1,1,1,0,0,334,955,3,16
1,1,1,1,1,0,0,1909,2436,50,4
0,1,0,0,0,0,0,-346,-358,27,-23
1,1,10,-1,-1,0,0,5802,5396,63,23
1,1,2,1,1,0,0,1085,1048,8,-1
0,1,-7,1,1,0,0,-2383,-1807,15,-3
1,-1,-1,1,0,1,0,306,1895,6,12
0,1,-2,-1,-1,0,0,-1568,-1850,-6,-20
1,-1,-2,0,1,-1,0,-1419,-1156,7,4
1,1,4,0,-1,1,0,2263,1634,9,-8
1,1,4,-1,-1,0,0,1374,1225,13,-8
1,-1,10,1,1,0,0,4301,3444,15,-4
1,1,5,0,0,0,0,3905,3713,39,2
1,-1,-5,-1,-1,0,0,-2919,-2318,-13,-9
1,1,6,1,1,0,0,2923,2787,23,11
0,-1,-3,-2,-1,-1,0,-1059,-951,-4,6
0,-1,-2,0,-1,1,0,-406,-14,35,-4
1,-1,4,1,1,0,0,1143,1251,22,-16
1,-1,2,-1,-1,0,0,736,266,20,12
0,1,-9,-1,-1,0,0,-4816,-3750,-63,20
1,-1,5,2,1,1,0,3977,3949,28,25
1,-1,4,-1,-1,0,0,3026,3357,43,0
0,-1,-8,1,1,0,0,-4262,-2426,-34,11
0,1,3,0,-1,1,1,2476,772,-21,-7
0,-1,-6,-2,-1,-1,0,-3545,-3206,-7,-14
0,-1,-5,0,-1,1,0,-4324,-2979,-40,-6
1,-1,-1,1,1,0,0,-496,-837,5,17
0,-1,-2,-1,-1,0,0,-1620,-1442,15,-24
1,1,-4,-1,-1,0,0,-1334,-1607,3,4
0,1,1,0,0,0,0,-796,-217,-21,-12
1,1,4,1,1,0,0,1398,1804,5,-16
1,1,2,0,0,0,0,3005,1938,32,31
0,1,-5,0,0,0,0,-3156,-3287,-16,-14
1,-1,-2,2,1,1,0,-473,383,22,9
0,-1,-5,-1,0,-1,0,-3397,-2282,-29,-13
0,-1,-3,-1,-1,0,0,-1937,-1514,18,-31
1,1,6,0,0,0,0,3765,2661,25,1
0,1,3,0,1,-1,0,384,-690,-26,4
1,1,6,1,1,0,0,2708,682,-7,-7
0,1,-4,0,0,0,0,-2427,-1462,-15,-10
1,1,3,1,1,0,0,1901,684,34,-23
1,-1,5,0,1,-1,0,2480,1699,14,20
0,-1,-9,0,-1,1,0,-3581,-2467,-29,21
1,1,5,2,1,1,0,2911,1378,-12,3
0,-1,-3,0,-1,1,0,-1245,-1370,-17,-3
0,-1,2,0,1,-1,0,166,-497,3,-3
0,-1,-5,0,0,0,-1,-6309,-3115,-101,8
0,-1,-6,-1,-1,0,0,-2047,-2555,6,-17
0,1,-1,-1,-1,0,0,-1464,-1509,-25,-7
1,1,2,2,1,1,0,874,-302,2,0
0,1,-3,1,1,0,0,-627,183,7,19
0,-1,0,0,0,0,0,-334,-292,-24,8
0,1,-1,1,1,0,0,449,1210,63,4
0,-1,-3,0,0,0,0,-780,-73,9,17
0,-1,-2,1,0,1,0,-205,1064,17,33
0,-1,-1,0,0,0,0,-1731,-1585,-42,4
0,-1,1,1,1,0,0,947,-188,25,5
0,1,-1,-1,-1,0,0,-713,-1111,8,-13
1,1,-1,1,1,0,0,1171,-1140,16,10
0,1,-2,-1,-1,0,0,-459,-307,-5,12
1,1,6,-1,-1,0,0,2673,1388,-7,-20
1,1,2,1,1,0,0,-251,-1675,-14,-12
0,1,3,-2,-1,-1,0,534,634,-32,-9
0,-1,-6,1,1,0,0,-4005,-2248,-60,13
1,1,-2,2,1,1,0,-318,86,23,20
0,1,3,0,-1,1,0,2682,2118,38,9
0,1,1,1,1,0,0,2092,1763,53,-1
1,-1,3,0,0,0,0,2300,2148,41,9
1,1,3,1,1,0,0,2642,1346,53,-10
1,1,1,-1,-1,0,0,2833,220,64,-21
0,1,0,-1,-1,0,0,-336,-1059,0,-31
0,-1,-7,1,1,0,-1,-5136,-3713,-75,9
1,-1,6,0,0,0,0,1872,3579,23,4
0,-1,-2,0,1,-1,-1,-1048,-450,-19,16
1,-1,-1,1,1,0,0,-88,-932,20,-2
1,-1,-5,0,0,0,0,-1427,-1008,-19,28
1,-1,-3,1,0,1,0,-2440,-1603,-39,-3
0,1,-4,-1,-1,0,0,-1614,-2256,14,-17
1,-1,-3,1,1,0,0,-1075,73,21,9
1,1,-1,2,1,1,0,-1799,-1304,-6,-4
1,1,9,1,1,0,0,3296,3231,0,1
1,-1,-3,-1,-1,0,0,-1942,57,-35,20
1,1,4,1,1,0,0,2013,247,17,-29
1,1,4,2,1,1,0,3574,1210,55,7
1,1,10,0,1,-1,0,6000,5033,104,-20
0,-1,-4,-1,0,-1,0,-3128,-2320,-39,-10
1,-1,0,2,1,1,0,1229,1059,54,0
0,1,-5,0,-1,1,0,1285,1300,96,7
0,-1,-5,-1,-1,0,0,-3274,-1385,-62,12
0,-1,-3,-1,-1,0,0,-1770,325,21,1
1,1,5,1,1,0,0,1892,890,-39,3
0,1,1,0,0,0,0,525,902,7,0
0,1,-1,1,1,0,0,-415,-498,8,-4
1,-1,-4,-1,-1,0,0,-1751,-1585,5,-8
1,1,8,0,-1,1,1,4453,2458,5,10
0,1,5,1,1,0,0,1393,441,-25,4
1,-1,1,2,1,1,0,534,154,56,-23
0,1,-9,-1,-1,0,0,-3301,-2246,23,1
1,-1,-3,2,1,1,0,-2022,-2023,-52,20
0,-1,-3,-1,-1,0,0,176,-172,50,-9
0,-1,-3,0,-1,1,0,-458,-559,-5,0
0,1,2,-1,-1,0,0,676,-576,-34,7
1,-1,2,0,1,-1,0,2536,3339,8,36
1,-1,-4,-1,0,-1,0,-1751,-2784,-11,-14
1,-1,-3,-2,-1,-1,0,-1516,-1467,-3,-2
0,1,-4,0,0,0,0,-2566,-2246,-66,1
0,1,-4,-1,-1,0,0,-2023,-2678,-25,-13
0,-1,-1,1,0,1,0,-276,179,33,3
1,1,3,2,1,1,0,1574,1834,11,17
1,-1,3,-1,-1,0,0,2378,2190,26,-2
0,1,-5,-2,-1,-1,0,-3223,-2518,-40,-20
0,-1,0,-1,-1,0,0,808,1415,24,7
1,1,6,0,0,0,0,3803,2825,37,-6
0,-1,-6,-1,-1,0,0,-3360,-1842,-34,-8
1,-1,4,-1,0,-1,0,2397,1405,-5,20
0,1,-3,0,0,0,0,-883,-1828,30,8
0,1,-3,-2,-1,-1,0,-2638,-2478,-2,-24
1,1,11,0,0,0,0,5035,5420,-5,16
0,1,-3,-2,-1,-1,0,-1003,-899,17,1
0,1,-3,-1,-1,0,0,-1963,-1151,2,4
0,-1,-1,-1,-1,0,0,-1071,-1471,-27,11
1,1,1,0,0,0,0,897,1090,-10,21
1,1,3,2,1,1,0,1946,1292,15,10
0,-1,0,0,-1,1,0,-219,-1440,10,-4
1,1,2,0,0,0,0,1588,1331,26,-10
0,-1,-4,-1,-1,0,0,-1889,-723,5,-7
1,-1,-2,1,1,0,0,-720,432,-28,36
0,1,-9,-2,-1,-1,0,-2388,-1978,15,12
0,-1,-10,-1,-1,0,0,-5668,-4786,-51,2
1,-1,-1,1,1,0,0,527,1493,62,10
1,1,2,0,-1,1,0,1496,-730,41,-2
0,-1,-6,-2,-1,-1,0,-4245,-3073,-51,-8
0,1,5,0,1,-1,0,3386,2410,-22,-14
0,-1,-5,-1,-1,0,0,-3145,-2166,-35,-5
0,-1,-4,1,1,0,0,-1325,-15,-12,26
1,-1,-3,2,1,1,0,-1623,-1144,-12,8
1,-1,0,1,1,0,0,1076,759,-2,15
1,-1,-3,1,1,0,0,-1156,-667,-38,-6
0,-1,0,1,0,1,0,450,-9,8,8
1,1,2,1,0,1,2,4363,4467,82,19
1,1,5,1,1,0,0,2262,2885,-8,18
0,1,-3,0,0,0,0,-367,187,7,3
1,-1,3,-1,-1,0,0,1214,2080,4,-27
1,1,3,1,1,0,0,1728,-337,-6,1
1,1,1,-1,-1,0,0,959,917,5,20
1,1,0,0,-1,1,0,924,323,21,10
1,1,10,1,1,0,0,4544,3126,45,-15
0,-1,-7,2,1,1,-1,-4847,-2983,-8,-4
1,1,6,0,1,-1,0,1849,669,-4,-10
1,-1,-4,0,0,0,0,-3891,-2689,-66,-7
0,1,-3,-1,-1,0,0,-1314,-1942,-1,-17
1,1,4,0,0,0,0,2718,91,7,0
0,-1,-5,-2,-1,-1,0,-2174,-1268,-10,-12
1,1,3,1,1,0,0,1093,720,13,-8
1,-1,1,0,0,0,0,-215,-438,-18,10
1,1,1,0,-1,1,0,635,-1157,-2,-21
1,-1,0,-1,0,-1,-1,120,1209,11,7
1,-1,1,1,1,0,0,194,661,-11,24
1,1,7,1,1,0,0,3581,1578,25,-1
0,-1,-7,0,0,0,0,-3622,-2561,-32,-1
1,1,0,0,1,-1,0,-303,312,0,-8
0,-1,1,1,1,0,0,-1295,-305,-51,4
0,-1,-4,-2,-1,-1,0,-3006,-1880,-45,0
1,1,1,0,-1,1,0,1090,371,17,4
1,-1,1,1,1,0,0,324,1794,-11,35
1,1,-4,-1,-1,0,0,-2025,-2448,-18,-17
0,1,-1,-1,-1,0,0,-416,-907,2,-8
0,1,0,0,-1,1,0,62,1154,30,-15
0,1,-2,-1,-1,0,0,-67,-1341,21,20
1,-1,7,1,1,0,0,5163,3968,52,1
1,1,6,1,1,0,0,2728,1957,2,-3
0,-1,-6,1,1,0,0,-3559,-1400,-52,9
1,1,2,2,1,1,0,184,-131,-16,-8
0,1,-3,1,1,0,0,-2040,-1012,-18,-14
1,1,5,1,1,0,0,2151,726,-14,5
0,-1,-2,0,0,0,0,-2452,-1634,-61,4
1,1,3,2,1,1,0,3255,2259,31,12
1,1,6,-1,-1,0,0,1128,858,4,-30
1,1,1,1,0,1,1,1909,979,5,19
1,-1,4,0,0,0,0,3397,1493,37,-6
0,-1,-4,-1,-1,0,0,-3563,-1320,-16,-20
0,1,-2,1,1,0,0,-361,1686,17,3
1,-1,1,1,0,1,0,-513,992,-23,3
1,-1,7,0,0,0,0,4872,3076,36,14
0,-1,-1,1,0,1,0,985,2102,19,11
1,1,-4,0,1,-1,0,-1599,-1870,2,-1
1,-1,7,1,1,0,0,1719,1703,-26,1
0,-1,-5,-1,0,-1,0,-2641,-2207,-35,12
0,1,-6,-2,-1,-1,0,-2846,-2325,-28,-6
0,-1,-7,-1,-1,0,0,-3891,-2276,-12,-22
1,-1,9,1,1,0,0,6202,5368,59,20
1,-1,1,0,0,0,0,2330,2167,34,16
0,1,2,0,0,0,0,3089,1750,69,4
1,-1,1,0,0,0,0,540,867,11,-11
1,1,1,0,-1,1,0,508,-1704,-18,-19
0,1,3,1,1,0,0,625,-1035,-15,-34
1,1,3,1,1,0,0,2481,1962,24,8
1,1,5,1,1,0,0,2796,2669,6,-1
1,-1,5,1,1,0,0,2089,2123,-8,5
1,1,-1,1,1,0,0,-608,-703,-20,15
0,1,-2,0,0,0,0,-1923,-1753,-12,-16
0,-1,0,-1,-1,0,0,-951,-546,3,-12
1,1,2,1,1,0,0,1428,701,42,-19
0,1,3,0,1,-1,0,1131,1145,-35,4
0,-1,-3,1,0,1,0,-1972,-1010,-35,13
0,1,-2,-1,-1,0,0,-2242,-1819,-58,18
1,1,3,0,1,-1,0,2287,-268,35,-20
0,-1,3,-1,0,-1,0,1367,2396,39,8
1,1,4,2,1,1,0,2580,2954,45,0
0,-1,4,1,1,0,0,786,-562,-46,-8
1,1,-1,2,1,1,0,152,-57,2,36
1,1,4,-1,-1,0,0,2802,281,13,-12
0,-1,-1,-1,-1,0,0,-1610,-1393,-15,-12
1,-1,4,-1,-1,0,0,1543,-21,27,-4
1,-1,4,0,0,0,0,1915,2606,4,1
1,-1,1,1,1,0,0,-595,364,-26,1
0,1,-1,0,0,0,0,-1190,-911,-17,-13
1,1,4,0,-1,1,0,1820,806,13,-12
0,-1,-3,2,1,1,0,-2630,-2244,-37,1
1,-1,0,-1,-1,0,0,-1327,-789,-23,-20
1,-1,4,-1,0,-1,0,1417,1016,-14,-12
0,1,0,1,1,0,0,71,409,13,12
1,-1,1,-1,-1,0,0,17,1052,-8,9
0,1,1,2,1,1,0,151,840,0,-8
1,1,7,0,1,-1,0,4817,3220,41,12
0,-1,-5,-1,-1,0,0,-3400,-2763,-38,-22
0,1,-2,-1,-1,0,0,-944,-556,26,-8
0,-1,-4,0,1,-1,-1,-2839,18,-25,-5
1,1,3,1,1,0,0,818,-165,46,-7
0,-1,-7,-2,-1,-1,-1,-6286,-4733,-93,-9
0,-1,-7,-1,-1,0,0,-3799,-3285,-26,-4
1,-1,6,2,1,1,1,4428,3489,22,6
1,1,8,-1,-1,0,0,4388,3527,28,-1
0,-1,-4,1,1,0,0,-3045,-1634,-36,7
0,-1,-2,-1,0,-1,0,-1497,-778,3,4
0,-1,-1,1,1,0,0,-1696,-2153,-11,-3
1,-1,1,-1,0,-1,0,733,-1480,-60,8
1,1,-1,1,1,0,0,-606,-1487,3,0
0,-1,-2,-1,0,-1,0,-2420,-753,-15,-14
0,-1,-5,-1,-1,0,0,-2037,110,14,12
1,-1,0,-1,-1,0,0,631,1404,14,5
0,-1,0,0,-1,1,0,-1570,-2103,-19,-28
1,-1,0,1,1,0,0,-471,870,-28,17
1,-1,-1,0,0,0,0,-1211,-108,4,-19
1,1,5,0,-1,1,0,2740,1708,32,-22
1,-1,2,1,0,1,0,1947,2521,-6,16
1,1,7,0,0,0,0,4712,3798,63,-1
0,1,1,1,1,0,0,1115,1256,15,-8
1,-1,-1,0,0,0,0,-833,-116,-63,23
1,-1,4,-1,-1,0,0,564,633,-6,-25
0,1,0,1,0,1,-1,-589,1794,-40,32
1,1,5,0,0,0,0,3020,2593,38,-8
1,1,1,0,1,-1,0,-1339,-2802,-20,-35
0,1,6,0,1,-1,0,1487,577,-46,-20
1,1,2,2,1,1,0,579,-37,-29,-9
